paragraph,an1,an2,an3,an4,an5,an6
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,1,1,1,1,1
4,1,1,1,1,1,1
5,1,1,1,1,1,1
6,1,1,1,1,1,1
7,1,1,1,1,1,1
8,1,1,1,1,1,1
9,1,1,1,1,1,1
10,1,1,1,1,1,1
11,1,1,1,1,1,1
12,1,1,1,1,1,1
13,2,2,2,2,2,1
14,2,2,2,2,2,1
15,2,2,2,2,2,1
16,2,2,2,2,2,1
17,2,2,2,2,2,1
18,2,2,2,2,2,1
19,2,2,2,2,2,2
20,2,2,2,2,2,2
21,2,2,2,2,2,2
22,2,2,2,2,2,2
23,2,2,2,2,2,2
24,2,2,2,2,2,2
25,2,2,2,2,2,2
26,2,2,2,2,2,2
27,2,2,2,2,2,2
28,2,2,2,2,2,2
29,2,2,2,2,2,2
30,2,3,3,3,2,2
31,3,3,3,3,3,2
32,3,4,4,3,3,3
33,3,4,4,3,3,3
34,3,4,4,3,4,3
35,3,4,4,4,4,3
36,3,4,4,4,4,3
37,3,4,4,4,4,3
38,3,4,4,4,4,3
39,3,4,4,4,4,3
40,3,4,5,5,4,3
41,4,5,5,5,5,4
42,4,5,5,5,5,4
43,4,5,5,5,5,4
44,5,6,6,6,5,5
45,5,6,6,6,5,5
46,5,6,6,6,5,5
47,5,6,6,6,5,5
48,5,6,6,6,5,5
49,5,6,6,6,5,5
50,5,6,6,6,5,5
51,5,6,6,6,5,5
52,5,6,6,6,5,5
53,5,6,6,6,5,5
54,5,6,6,6,5,5
55,6,6,6,6,5,5
56,6,6,6,6,5,5
57,6,6,6,6,5,5
58,6,6,6,7,5,5
59,7,7,7,7,6,6
60,7,7,7,7,6,6
61,7,7,7,7,6,6
62,7,7,8,7,6,6
63,7,7,8,7,6,6
64,7,7,8,7,6,6
65,7,7,8,7,6,6
66,7,7,8,7,6,6
67,7,7,8,7,6,6
68,7,7,8,7,6,6
69,7,7,8,7,6,6
