paragraph,an1,an2,an3,an4,an5
1,1,1,1,1,1
2,1,1,1,1,1
3,1,1,1,1,1
4,1,1,1,1,1
5,1,1,2,1,1
6,1,1,2,1,1
7,1,1,2,1,1
8,1,1,2,1,1
9,1,1,2,1,1
10,1,1,2,1,1
11,1,1,3,1,1
12,1,1,3,1,1
13,1,1,3,1,1
14,1,1,3,1,1
15,1,1,3,1,1
16,1,1,3,1,1
17,1,1,3,1,1
18,1,1,3,1,1
19,1,1,3,1,1
20,1,1,4,1,1
21,1,1,5,1,1
22,1,1,5,1,1
23,1,1,5,1,1
24,1,1,5,1,1
25,1,1,5,1,1
26,1,1,5,1,1
27,1,1,5,1,1
28,1,1,5,1,1
29,1,1,5,1,1
30,1,1,5,1,1
31,1,1,5,1,1
32,1,1,5,1,1
33,1,1,5,1,1
34,1,1,5,1,1
35,2,1,5,1,1
36,2,1,5,1,1
37,2,1,5,1,1
38,2,1,5,1,1
39,2,1,5,1,1
40,2,1,5,1,1
41,2,1,5,1,2
42,2,1,5,1,2
43,3,1,6,2,2
44,3,1,6,2,2
45,3,1,6,2,2
46,3,1,6,2,2
47,3,1,6,2,2
48,3,1,6,2,2
49,3,1,6,2,2
50,3,1,6,2,2
51,3,1,6,2,2
52,3,1,7,2,2
53,3,1,8,2,2
54,3,1,8,2,2
55,3,1,8,2,2
56,3,1,8,2,2
57,3,1,8,2,2
58,3,1,8,2,2
59,3,2,8,2,2
60,3,2,8,2,2
