paragraph,an1,an2,an3,an4,an5,an6
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,1,1,1,1,1
4,1,1,1,1,1,1
5,1,1,1,1,1,1
6,1,1,1,1,1,1
7,2,1,1,1,1,1
8,2,2,2,1,1,2
9,2,2,2,1,1,2
10,2,2,2,1,1,2
11,2,2,2,1,1,2
12,2,2,2,1,1,2
13,2,2,2,1,1,2
14,2,2,2,1,1,2
15,2,2,2,1,1,2
16,2,2,2,1,1,2
17,3,2,2,1,1,2
18,3,2,2,1,1,2
19,3,2,2,1,1,2
20,3,2,2,1,1,2
21,3,2,2,1,1,2
22,3,2,2,1,1,2
23,3,2,2,1,1,2
24,3,2,2,1,1,2
25,3,2,2,1,1,2
26,3,2,2,1,1,2
27,3,2,2,1,1,2
28,3,2,2,1,1,2
29,3,2,2,1,2,3
30,4,2,2,1,3,3
31,4,2,2,1,3,3
32,4,2,2,1,3,3
33,4,2,2,1,3,3
34,4,2,2,1,3,3
35,5,2,2,1,3,3
36,5,2,2,1,3,3
37,5,2,2,1,3,3
38,5,2,2,1,3,3
39,5,2,2,1,3,3
40,6,2,2,1,4,3
41,6,2,2,2,4,3
42,6,2,2,2,4,4
43,6,2,2,2,5,4
44,6,2,2,2,5,4
45,6,2,2,2,5,4
46,6,2,2,2,5,4
47,6,2,2,2,5,4
48,6,2,2,2,5,4
49,6,2,2,2,5,4
50,6,2,2,2,5,4
51,6,2,2,2,5,4
52,6,2,2,2,5,4
53,6,2,2,2,5,4
54,6,2,2,2,5,4
55,6,2,2,2,5,4
56,6,2,2,2,5,4
57,6,2,2,2,5,4
58,6,2,2,2,5,4
