paragraph,an1,an2,an3,an4,an5,an6
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,2,2,1,2,1,1
4,2,3,1,2,1,1
5,3,3,2,2,1,1
6,4,3,2,2,1,1
7,4,3,2,3,2,1
8,4,4,2,3,2,2
9,5,5,2,3,2,2
10,5,5,2,3,3,2
11,5,5,2,3,3,2
12,5,5,2,3,3,2
13,5,5,2,3,3,2
14,6,5,2,4,4,2
15,6,6,2,4,4,3
16,6,7,2,4,4,3
17,6,7,2,4,4,3
18,6,7,2,4,4,3
19,6,7,2,4,4,3
20,6,7,2,4,4,3
21,6,8,2,4,4,3
22,7,8,3,5,4,3
23,7,8,3,5,4,3
24,8,8,3,5,5,4
25,8,8,3,6,5,4
26,8,8,3,6,5,4
27,8,8,3,6,5,4
28,8,8,3,6,5,4
29,8,8,3,6,5,4
30,8,8,3,6,5,4
31,8,8,3,6,5,4
32,8,9,3,6,5,4
33,8,9,3,6,5,4
