paragraph,an1,an2,an3,an4,an5
1,1,1,1,1,1
2,1,1,1,1,1
3,1,1,1,1,1
4,1,1,1,1,1
5,1,1,1,1,1
6,1,1,1,1,1
7,1,1,1,1,1
8,1,1,1,1,1
9,1,1,1,1,1
10,1,1,1,1,1
11,1,1,1,1,1
12,1,1,1,1,1
13,2,1,2,1,1
14,2,2,2,1,1
15,2,2,2,1,1
16,2,2,2,1,1
17,2,2,2,1,1
18,2,2,2,1,1
19,2,2,3,1,1
20,2,2,3,1,1
21,2,2,3,1,1
22,2,2,3,1,1
23,2,2,3,1,1
24,2,2,3,1,1
25,2,2,3,1,1
26,2,2,3,1,1
27,3,3,4,1,2
28,3,3,4,1,2
29,3,3,4,1,2
30,3,4,5,2,2
31,3,4,5,2,2
32,3,4,5,2,2
33,3,4,5,2,2
34,3,4,5,2,2
35,3,4,5,2,2
36,3,4,5,2,2
37,3,4,5,2,2
38,3,4,5,2,2
39,3,4,5,2,2
40,3,4,5,2,2
41,3,4,6,2,3
42,4,5,6,2,3
43,4,5,6,2,3
44,4,5,6,2,3
45,4,5,6,2,3
46,4,5,6,2,3
47,4,5,6,2,3
48,4,5,6,2,3
49,4,5,6,2,3
50,4,5,6,2,3
51,4,5,6,2,3
52,4,5,6,2,3
53,4,5,6,2,3
54,4,5,6,2,3
55,4,5,6,2,3
56,4,5,6,2,3
57,4,5,6,2,3
58,4,5,6,2,3
59,4,5,6,2,3
60,4,5,6,2,3
61,4,5,6,2,3
62,4,5,6,2,3
63,4,5,6,2,3
64,4,5,6,2,3
65,4,5,6,2,3
66,4,5,6,2,3
67,5,5,6,2,3
68,5,6,7,2,3
69,5,6,7,2,3
70,5,6,7,2,3
