paragraph,an1,an2,an3,an4,an5,an6
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,1,2,1,1,2
4,1,2,2,1,2,2
5,1,2,2,1,2,2
6,1,2,2,1,2,2
7,1,2,2,1,2,2
8,1,2,2,1,2,2
9,1,3,3,2,3,3
10,2,3,3,2,3,3
11,2,3,4,2,3,3
12,2,3,4,2,3,3
13,2,4,5,3,4,4
14,2,4,5,3,4,4
15,2,4,6,3,4,4
16,2,5,6,3,4,5
17,3,5,6,3,4,5
18,3,5,6,3,4,5
19,3,5,6,3,4,5
20,3,5,6,3,4,5
21,3,5,6,3,4,5
22,4,6,6,3,4,6
23,4,6,7,3,5,6
24,4,6,7,3,5,6
25,4,6,7,3,5,6
26,4,6,7,3,5,6
27,4,6,7,3,5,6
28,4,6,7,3,5,6
29,4,7,7,3,5,7
30,4,7,7,3,5,7
31,4,7,8,3,5,7
32,4,7,8,3,6,7
33,4,7,8,3,6,7
34,5,8,9,4,6,8
35,5,8,9,4,6,8
36,5,8,9,4,6,8
37,5,8,9,4,6,8
38,6,9,10,5,7,9
39,6,9,11,5,7,10
