paragraph,an1,an2,an3,an4,an5,an6
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,1,1,1,1,1
4,1,1,1,1,1,1
5,1,1,1,1,1,1
6,1,1,1,1,1,2
7,1,1,1,1,2,2
8,2,2,1,1,2,2
9,2,2,1,1,2,2
10,2,2,1,1,2,2
11,2,2,1,1,2,2
12,2,2,1,1,2,2
13,2,2,1,1,2,2
14,2,2,1,1,2,2
15,2,2,1,1,2,2
16,2,2,1,1,2,2
17,2,2,1,1,2,2
18,2,2,1,1,2,2
19,2,3,1,1,3,2
20,2,3,1,1,3,2
21,2,3,1,1,3,2
22,2,3,1,1,3,2
23,2,3,1,1,3,2
24,2,3,1,1,3,2
25,2,3,1,1,3,2
26,3,4,2,2,4,3
27,3,4,2,2,4,3
28,3,4,2,2,4,3
29,3,5,2,2,4,3
30,3,5,2,2,5,3
31,3,5,2,2,5,3
32,3,5,2,2,5,3
33,3,5,2,2,5,3
34,3,5,2,2,5,3
35,3,5,2,2,5,3
36,3,5,2,2,5,3
37,4,6,3,3,5,4
38,4,6,3,3,5,4
39,4,6,3,3,5,4
40,4,6,3,3,5,4
41,4,6,3,3,5,4
42,5,7,3,4,5,5
43,5,7,4,4,5,5
44,5,7,4,4,5,5
45,5,7,4,4,5,5
46,5,7,4,4,5,5
47,5,7,4,4,5,5
48,5,7,4,4,5,5
49,5,7,4,4,6,5
50,5,7,4,4,6,5
51,5,7,4,4,6,5
52,5,7,4,4,6,5
53,5,7,4,4,6,5
54,5,7,4,4,6,5
55,5,7,4,4,6,5
56,5,7,4,4,6,5
57,5,7,4,4,6,5
58,5,7,4,4,6,5
59,5,7,4,4,6,5
60,5,7,4,4,6,5
61,6,8,4,4,6,6
62,6,8,4,4,6,6
63,6,8,5,4,6,6
64,6,8,5,4,6,6
65,6,8,5,4,6,6
66,6,8,5,4,6,6
67,6,8,5,4,6,6
68,6,8,5,4,6,6
69,6,8,5,4,6,6
70,6,8,5,4,6,6
