paragraph,an1,an2,an3,an4,an5,an6
1,1,1,1,1,1,1
2,1,2,1,1,1,1
3,1,2,1,1,1,1
4,2,2,2,2,2,2
5,2,3,2,2,2,2
6,2,3,2,2,2,2
7,2,3,2,2,3,2
8,2,3,3,2,3,2
9,2,3,3,2,3,2
10,3,3,3,2,4,2
11,3,3,3,2,4,2
12,3,3,3,2,4,2
13,3,3,3,2,4,2
14,3,3,3,2,4,3
15,3,3,3,2,5,3
16,3,3,3,2,5,3
17,3,3,3,2,5,3
18,3,3,3,2,5,3
19,3,3,3,2,5,3
20,3,3,3,2,5,3
21,3,3,3,2,5,3
22,3,3,3,2,6,3
23,3,3,3,2,6,3
24,3,3,3,2,6,3
25,4,3,4,2,6,3
26,4,3,4,3,6,3
27,4,3,4,3,6,3
28,4,3,4,3,6,4
29,4,4,4,3,6,4
30,4,4,4,3,6,4
31,4,4,4,3,6,4
32,4,4,4,3,6,4
33,4,4,4,3,6,4
34,4,4,4,3,6,4
35,4,4,4,3,6,4
36,4,4,4,3,6,4
37,4,4,4,3,6,4
38,4,4,4,3,6,4
39,4,4,4,3,6,4
40,4,4,4,3,6,4
41,4,4,4,3,6,4
42,4,4,4,3,6,4
43,4,4,4,3,6,4
44,4,4,4,3,6,4
45,4,4,4,3,6,4
46,4,4,4,3,6,4
47,4,4,4,3,6,4
48,5,4,4,3,6,4
49,5,4,4,3,6,4
50,5,4,4,3,6,4
51,5,4,4,3,6,4
52,5,4,4,3,6,4
53,5,4,4,3,6,4
54,5,4,4,3,6,4
55,5,4,4,3,6,4
56,5,4,4,3,6,4
57,5,4,4,3,6,4
58,5,4,4,3,6,4
59,5,4,4,3,6,4
60,5,4,4,3,6,4
61,5,4,4,3,6,4
62,5,4,4,3,6,4
63,5,4,4,3,6,4
64,5,4,4,3,6,4
65,5,4,4,3,6,4
66,5,4,4,3,6,4
67,6,4,4,3,6,5
68,6,4,4,3,6,5
69,6,4,4,3,6,5
70,6,4,4,3,6,5
71,6,4,4,3,6,5
72,7,4,4,3,6,6
73,7,4,4,3,6,6
74,7,4,4,3,6,6
75,7,4,4,3,6,6
76,7,4,4,3,6,6
77,7,4,4,3,6,6
78,7,4,4,3,6,6
79,7,4,4,3,6,6
80,7,4,4,3,6,6
81,7,4,4,3,6,6
82,7,4,4,3,6,7
83,7,4,4,3,6,7
84,7,4,4,3,6,7
85,7,4,4,3,6,7
86,7,4,4,3,6,7
87,7,4,4,3,7,7
88,8,4,4,3,7,8
89,8,4,4,3,7,8
90,8,4,4,3,7,8
91,9,4,4,3,8,8
92,9,4,4,3,8,8
93,9,4,4,3,8,9
94,9,4,4,3,8,9
95,9,4,4,3,8,9
96,10,4,4,4,8,9
97,10,4,4,4,8,9
98,10,4,4,4,8,9
99,10,4,4,4,8,9
100,10,5,4,4,8,9
101,10,5,4,4,8,9
102,10,5,4,4,8,9
