paragraph,an1,an2,an3,an4,an5,an6
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,2,1,1,1,1
4,1,3,1,1,1,1
5,1,3,1,1,1,2
6,1,3,1,1,1,2
7,1,3,1,1,1,2
8,1,3,1,1,1,2
9,1,3,1,1,1,2
10,2,4,1,2,1,2
11,2,4,1,2,1,2
12,2,4,1,2,1,2
13,2,5,1,2,1,2
14,3,5,1,3,2,2
15,3,6,1,3,2,3
16,3,6,1,3,2,3
17,3,6,1,3,2,3
18,3,6,1,3,2,3
19,4,7,1,3,2,3
20,4,7,2,4,3,4
21,4,7,2,4,3,5
22,4,7,2,4,3,5
23,4,7,2,4,3,5
24,4,7,2,4,3,5
25,4,7,2,4,3,5
26,4,7,2,4,3,5
27,4,7,2,4,3,5
28,5,7,2,4,3,5
29,5,7,2,4,3,5
30,5,7,2,4,3,5
31,5,7,2,4,3,5
32,5,7,2,4,3,5
33,5,7,2,4,3,5
34,5,7,2,4,3,5
35,5,7,3,4,4,6
36,6,8,3,5,4,6
37,6,8,3,5,4,6
38,6,8,3,5,4,6
39,6,8,3,6,4,7
40,6,8,3,6,4,7
41,6,8,3,6,4,7
42,6,8,3,6,4,7
