paragraph,an1,an2,an3,an4
1,1,1,1,1
2,1,2,1,1
3,1,2,1,2
4,1,2,1,2
5,1,2,1,2
6,1,2,1,2
7,1,2,1,2
8,1,2,1,2
9,1,2,1,2
10,1,2,1,2
11,1,2,1,2
12,1,3,1,3
13,1,3,2,3
14,1,4,2,4
15,1,4,2,4
16,1,4,2,4
17,1,4,2,4
18,2,5,3,4
19,2,6,3,5
20,2,6,3,5
21,2,7,3,6
22,2,7,3,6
23,2,7,3,6
24,2,8,3,6
25,2,8,3,6
26,2,8,3,6
27,2,8,3,6
28,2,8,3,6
29,2,8,3,6
30,2,8,3,6
31,2,8,3,6
32,2,8,3,6
33,2,8,3,6
34,2,9,3,6
35,2,9,3,6
36,2,9,3,6
37,2,9,3,6
38,2,9,3,6
39,2,9,3,6
40,2,10,3,7
41,2,10,3,8
42,2,10,3,8
43,3,10,3,8
44,3,10,3,8
45,3,10,3,8
46,3,11,3,8
