paragraph,an1,an2,an3,an4,an5,an6
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,1,1,1,1,1
4,1,2,2,1,2,2
5,1,2,2,1,2,2
6,1,2,2,1,2,2
7,1,3,3,1,3,2
8,1,3,3,1,3,2
9,1,4,4,2,4,3
10,1,4,4,2,4,3
11,1,4,4,2,4,3
12,1,5,4,2,4,3
13,1,5,4,2,4,3
14,1,5,4,2,4,3
15,1,5,4,2,4,3
16,1,5,4,2,4,3
17,1,5,4,2,4,3
18,1,5,4,2,4,3
19,1,5,4,2,4,3
20,1,6,4,2,5,3
21,1,7,4,2,5,3
22,1,7,4,2,5,3
23,1,7,4,2,5,3
24,1,7,4,2,5,3
25,2,8,5,3,6,4
26,2,8,5,3,6,4
27,2,8,5,3,6,4
28,2,8,5,3,6,4
29,2,8,5,3,6,4
30,2,8,5,3,6,5
31,3,9,6,4,7,5
32,3,9,6,4,7,5
33,3,9,6,4,7,5
34,3,9,6,4,7,5
35,3,9,6,4,7,5
36,3,9,6,4,7,5
37,3,9,6,4,7,5
38,3,9,6,4,7,6
39,3,9,6,4,7,6
40,3,9,6,4,7,7
41,3,9,6,4,7,7
42,3,10,6,4,7,7
43,3,10,6,4,7,7
44,3,10,6,4,7,7
45,3,10,6,4,7,7
46,3,10,6,4,7,7
47,3,10,6,4,7,7
48,3,10,6,4,7,7
49,3,10,6,4,7,7
50,3,10,6,4,7,7
51,3,10,6,4,7,7
52,3,10,6,4,7,7
53,3,10,6,4,7,7
54,3,10,6,4,7,7
55,3,10,6,4,7,7
56,3,10,6,4,7,7
57,3,10,6,4,7,7
58,3,10,6,4,7,7
59,3,10,6,4,7,7
60,3,10,6,4,7,7
61,3,10,6,4,7,7
62,3,10,6,4,7,7
63,3,10,6,5,7,8
64,3,11,6,5,7,8
65,3,11,6,5,7,8
66,3,11,6,5,7,8
67,3,11,6,5,7,8
68,3,11,6,5,7,8
69,3,11,6,5,7,8
70,3,11,6,5,7,8
71,3,11,6,5,7,8
72,3,11,6,5,7,8
73,3,11,6,5,7,8
74,3,12,6,6,7,8
75,3,12,6,6,7,8
76,4,12,7,6,8,9
77,4,12,7,6,8,9
78,4,12,7,6,8,9
79,4,12,7,6,8,9
80,4,13,8,7,9,10
81,4,13,9,8,9,10
82,5,13,10,8,9,10
83,5,13,11,8,9,10
